Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
Alperen Sengun,2022-23,HOU,Post Scorer,"2,171",C,20,1.43,0.8,0.64,5.3,-0.03,-0.22,0.2
Bradley Beal,2022-23,WAS,Shot Creator,"1,673",SG,29,1.43,2.03,-0.6,4.1,0.77,1.61,-0.84
Khris Middleton,2022-23,MIL,Shot Creator,801,SF,31,1.4,1.41,-0.01,2,1.01,1.64,-0.63
Isaiah Hartenstein,2022-23,NYK,Roll + Cut Big,"1,628",C,24,1.39,-0.57,1.96,4,-0.35,-1.68,1.34
LaMelo Ball,2022-23,CHO,Primary Ball Handler,"1,268",PG,21,1.37,2.19,-0.82,3.1,1.1,1.84,-0.74
Scottie Barnes,2022-23,TOR,Shot Creator,"2,678",PF,21,1.33,0.26,1.07,6.4,0.09,-0.07,0.16
Karl-Anthony Towns,2022-23,MIN,Stretch Big,957,PF,27,1.31,0.66,0.65,2.3,1.19,1.36,-0.16
Delon Wright,2022-23,WAS,Secondary Ball Handler,"1,221",PG,30,1.3,0.43,0.87,2.9,0.83,0,0.83
Kyle Anderson,2022-23,MIN,Slasher,"1,957",PF,29,1.29,-0.32,1.61,4.6,0.4,-0.77,1.17
Wendell Carter Jr.,2022-23,ORL,Stretch Big,"1,690",C,23,1.26,-0.03,1.3,4,0.73,0.23,0.51
Larry Nance Jr.,2022-23,NOP,Roll + Cut Big,"1,381",PF,30,1.25,-0.74,2,3.2,0.11,-1.12,1.23
Goga Bitadze,2022-23,IND/ORL,Roll + Cut Big,457,C,23,1.25,-0.18,1.43,1.1,0.3,-0.3,0.6
Kevin Huerter,2022-23,SAC,Movement Shooter,"2,203",SG,24,1.24,1.88,-0.64,5.1,1.31,1.46,-0.15
Mitchell Robinson,2022-23,NYK,Roll + Cut Big,"1,589",C,25,1.2,-0.79,2,3.7,1.87,-0.51,2.38
Franz Wagner,2022-23,ORL,Secondary Ball Handler,"2,609",SF,21,1.15,0.72,0.42,5.9,-0.35,0.12,-0.47
Monte Morris,2022-23,WAS,Primary Ball Handler,"1,696",PG,27,1.1,1.27,-0.17,3.8,0.47,0.52,-0.05
Bruno Fernando,2022-23,HOU/ATL,Roll + Cut Big,405,C,24,1.08,-1.12,2.2,0.9,1.12,-0.97,2.08
Moses Brown,2022-23,LAC/BRK,Roll + Cut Big,294,C,23,1.08,0.48,0.6,0.7,0.96,0.47,0.5
Rudy Gobert,2022-23,MIN,Roll + Cut Big,"2,149",C,30,1.01,-0.89,1.9,4.7,1.51,-0.31,1.82
John Konchar,2022-23,MEM,Stationary Shooter,"1,494",SG,27,1,-0.52,1.51,3.3,-0.44,-1.78,1.35
Anthony Edwards,2022-23,MIN,Shot Creator,"2,842",SG,21,0.98,0.84,0.14,6.2,1.08,1.12,-0.04
Paul Reed,2022-23,PHI,Roll + Cut Big,755,C,23,0.93,-0.79,1.72,1.6,0.48,-1.3,1.78
Kyle Lowry,2022-23,MIA,Movement Shooter,"1,718",PG,37,0.91,0.08,0.83,3.6,0.45,-0.16,0.61
Marcus Smart,2022-23,BOS,Stationary Shooter,"1,957",PG,29,0.9,-0.01,0.91,4.1,1.1,0.24,0.86
Jalen Johnson,2022-23,ATL,Stretch Big,"1,042",SF,21,0.86,-0.27,1.12,2.2,0.18,-0.95,1.13
Zach LaVine,2022-23,CHI,Primary Ball Handler,"2,768",SG,28,0.82,1.37,-0.56,5.7,1.25,1.69,-0.44
Jaylen Brown,2022-23,BOS,Secondary Ball Handler,"2,405",SF,26,0.81,0.91,-0.1,4.9,2.06,1.97,0.09
Tobias Harris,2022-23,PHI,Stationary Shooter,"2,436",PF,30,0.8,-0.07,0.87,5,0.85,0.29,0.56
O.G. Anunoby,2022-23,TOR,Stationary Shooter,"2,386",SF,25,0.78,-0.51,1.28,4.9,-0.15,-0.76,0.61
Tyler Herro,2022-23,MIA,Primary Ball Handler,"2,336",SG,23,0.77,0.8,-0.03,4.8,0.55,0.66,-0.11
Jamal Murray,2022-23,DEN,Primary Ball Handler,"2,133",PG,26,0.77,2.03,-1.26,4.3,1.51,2.24,-0.73
Jock Landale,2022-23,PHO,Post Scorer,979,C,27,0.74,0.1,0.64,2,-0.97,-0.55,-0.42
Kevin Love,2022-23,CLE/MIA,Stretch Big,"1,240",PF,34,0.73,0.37,0.36,2.5,0.62,0.2,0.42
Harrison Barnes,2022-23,SAC,Stationary Shooter,"2,662",PF,30,0.71,1.18,-0.47,5.3,0.52,0.98,-0.46
Jusuf Nurkic,2022-23,POR,Post Scorer,"1,391",C,28,0.68,-1.2,1.88,2.7,0.84,-0.14,0.97
Kris Dunn,2022-23,UTA,Slasher,568,PG,29,0.65,0.67,-0.02,1.1,0.66,0.21,0.45
Tari Eason,2022-23,HOU,Athletic Finisher,"1,767",PF,21,0.6,-0.26,0.86,3.4,-1.19,-1.27,0.09
Chimezie Metu,2022-23,SAC,Roll + Cut Big,689,C,26,0.59,-0.38,0.97,1.3,0.34,-0.58,0.91
Boban Marjanovic,2022-23,HOU,Post Scorer,171,C,34,0.58,0.22,0.37,0.3,0.21,-0.21,0.42
Mike Conley,2022-23,UTA/MIN,Primary Ball Handler,"2,028",PG,35,0.57,1.08,-0.51,3.9,1.08,1.28,-0.2
Cedi Osman,2022-23,CLE,Stationary Shooter,"1,548",SF,28,0.57,0.71,-0.15,2.9,-0.75,-0.31,-0.43
Christian Wood,2022-23,DAL,Shot Creator,"1,738",C,27,0.54,0.83,-0.29,3.3,1.73,1.52,0.21
Jordan Goodwin,2022-23,WAS,Secondary Ball Handler,"1,105",PG,24,0.54,-0.18,0.72,2.1,0.01,-0.46,0.47
